Line No.,Eartag,Birth Date,Breed,Lact num,Calving Date,305 day Milk kg,305 day Fat kg,305 day Protein kg,305 day Fat + Protein kg,F+P kg / day,Lact len,Tests,SCC over limit,Ave SCC,Calv int,Johne's Group,Fertility Status,CPI,Sire name
138,UK702881501216,17/08/11,HF,11,18/03/25,6450,243,230,474,1.73,274,4,0,33,390,J0,Ready,0,UNKNOWN
173,UK702881601469,31/08/12,HF,11,21/03/25,6341,325,282,608,2.24,271,4,0,65,389,J0,Ready,0,UNKNOWN
17,UK702881401439,24/08/12,HF,10,12/02/25,7518,304,275,579,1.89,308,4,0,46,359,J0,Ready,0,UNKNOWN
280,UK741131701355,27/02/13,J,10,10/02/25,7281,339,276,616,2.01,310,4,0,48,354,J0,Ready,0,NOTGIVEN
301,UK702881701701,16/09/13,HF,10,10/02/25,6333,331,275,607,1.98,310,4,0,68,368,J0,Ready,0,UNKNOWN
281,UK702881701939,26/09/14,HF,9,12/02/25,7834,312,296,609,1.99,308,4,0,32,372,J0,Ready,0,UNKNOWN
232,UK702881101961,20/10/14,HF,9,16/02/25,7054,227,268,496,1.63,304,4,0,21,375,J0,Ready,0,UNKNOWN
24,UK702881101933,18/09/14,HF,9,19/02/25,9373,362,311,674,2.24,301,4,4,407,357,J0,Ready,0,UNKNOWN
75,UK702881401950,05/10/14,HF,9,18/02/25,6802,373,288,662,2.19,302,3,0,23,350,J0,Ready,0,UNKNOWN
166,UK702881501888,25/08/14,HF,9,24/03/25,7111,312,247,559,2.09,268,4,0,44,375,J0,Ready,0,UNKNOWN
159,UK702881501951,06/10/14,HF,9,25/02/25,7022,209,278,487,1.65,295,4,1,79,330,J0,Ready,0,UNKNOWN
115,UK702881701862,18/08/14,HF,9,21/02/25,7227,339,278,617,2.06,299,4,0,51,381,J0,Ready,0,UNKNOWN
475,UK702881301970,29/01/15,J,9,14/02/25,7492,367,296,664,2.17,306,3,0,38,360,J0,Ready,0,NOTGIVEN
436,IE141949093023,23/02/16,HF,8,25/02/25,7908,379,305,684,2.32,295,4,4,1237,369,J0,Ready,0,UNKNOWN
447,IE141949093072,03/03/16,HF,8,11/03/25,8083,348,280,629,2.24,281,3,0,24,388,J0,Ready,0,UNKNOWN
450,IE141949072964,17/02/16,HF,8,20/03/25,6792,330,238,568,2.09,272,4,0,79,388,J0,Ready,0,UNKNOWN
427,IE141949042945,15/02/16,HF,8,11/02/25,8530,327,327,655,2.15,309,4,0,39,343,J0,Ready,0,UNKNOWN
429,IE141949062864,06/02/16,HF,8,01/03/25,8269,335,319,655,2.25,291,4,1,272,376,J0,Ready,0,UNKNOWN
453,UK702881202522,09/09/16,HF,8,10/02/25,7217,368,290,659,2.16,310,4,0,33,345,J0,Ready,0,UNKNOWN
372,UK702881302257,08/02/16,HF,8,21/02/25,7698,302,275,577,1.93,299,4,0,66,383,J0,Ready,0,NOTGIVEN
364,UK702881702429,04/08/16,HF,8,09/02/25,7914,360,311,672,2.20,311,4,0,49,327,J0,Ready,0,UNKNOWN
369,UK702881102255,08/02/16,HF,8,12/02/25,9209,381,354,735,2.41,308,4,0,22,334,J0,Ready,0,NOTGIVEN
380,UK702881102395,20/03/16,HF,8,19/02/25,6277,309,261,571,1.90,301,4,0,36,359,J0,Ready,0,NOTGIVEN
407,UK702881702310,18/02/16,HF,8,01/03/25,9169,383,351,735,2.53,291,4,1,103,386,J0,Ready,0,NOTGIVEN
409,IE141949082973,18/02/16,HF,8,04/03/25,7363,354,288,642,2.23,288,4,0,17,363,J0,Ready,0,NOTGIVEN
410,IE141949072931,13/02/16,HF,8,21/02/25,7448,264,262,527,1.76,299,4,0,49,365,J0,Ready,0,UNKNOWN
414,UK702881202494,01/09/16,HF,8,07/03/25,7489,301,283,584,2.05,285,4,0,29,373,J0,Ready,0,UNKNOWN
415,IE141949092834,03/02/16,HF,8,03/02/25,8234,301,315,616,2.00,317,4,0,18,361,J0,Ready,0,UNKNOWN
418,UK702881302516,10/09/16,HF,8,19/02/25,7953,290,280,571,1.90,301,4,0,28,366,J0,Ready,0,UNKNOWN
161,UK702881102521,09/09/16,HF,8,16/02/25,7092,296,297,593,1.95,304,4,0,41,334,J0,Ready,0,UNKNOWN
214,UK702881602526,11/09/16,HF,8,01/04/25,6782,380,307,687,2.64,260,4,0,39,407,J0,Ready,0,UNKNOWN
187,UK702881202445,10/08/16,HF,8,10/02/25,8846,392,335,728,2.38,310,4,0,27,370,J0,Ready,0,UNKNOWN
198,UK702647502463,08/02/16,HF,8,16/02/25,7603,343,292,635,2.09,304,4,0,39,368,J0,Ready,0,NOTGIVEN
84,UK702647602450,06/02/16,HF,8,21/02/25,7529,334,287,622,2.08,299,4,0,13,351,J0,Ready,0,NOTGIVEN
54,IE141949022943,14/02/16,HF,8,12/02/25,7825,304,301,605,1.98,308,4,0,28,370,J0,Ready,0,NOTGIVEN
33,UK702881602379,13/03/16,HF,8,10/02/25,7879,414,303,717,2.34,310,4,0,16,343,J0,Ready,0,NOTGIVEN
4,UK702881601903,03/09/14,HF,8,25/02/25,7472,305,283,589,2.00,295,4,3,320,381,J0,Ready,0,UNKNOWN
49,IE141949013098,09/03/16,HF,8,15/03/25,7888,329,254,583,2.10,277,4,0,8,378,J0,Ready,0,NOTGIVEN
225,UK702881102094,24/08/15,HF,8,05/03/25,8476,382,300,682,2.38,287,4,0,97,363,J0,Ready,0,UNKNOWN
255,UK702881102087,21/08/15,HF,8,13/02/25,7088,305,263,569,1.86,307,4,4,1981,373,J0,Ready,0,UNKNOWN
299,UK702881202536,12/09/16,HF,8,21/02/25,7856,368,306,675,2.26,299,4,0,34,379,J0,Ready,0,UNKNOWN
314,UK702881702303,16/02/16,HF,8,11/03/25,7473,350,268,619,2.20,281,4,0,91,388,J0,Ready,0,NOTGIVEN
317,UK702881202543,15/09/16,HF,8,12/02/25,7067,322,292,615,2.01,308,4,0,34,342,J5,Ready,0,UNKNOWN
325,UK702881602393,19/03/16,HF,8,01/03/25,7867,294,298,593,2.04,291,4,0,84,381,J0,Ready,0,NOTGIVEN
306,UK702881502140,05/09/15,HF,8,01/04/25,7449,360,285,646,2.48,260,4,0,16,392,J0,Ready,0,NOTGIVEN
457,UK702881202438,06/08/16,HF,8,14/03/25,7446,339,281,621,2.23,278,4,0,60,389,J0,Ready,0,UNKNOWN
53,UK702881502700,23/02/17,HF,7,19/02/25,8062,329,308,637,2.12,301,4,3,666,368,J0,Ready,0,UNKNOWN
85,UK702881402706,25/02/17,HF,7,12/02/25,8012,420,323,744,2.44,308,4,0,29,356,J0,Ready,0,UNKNOWN
97,UK702881302670,16/02/17,HF,7,20/03/25,8046,387,285,672,2.47,272,4,0,12,411,J0,Ready,0,UNKNOWN
420,UK702881302992,09/02/18,HF,7,18/02/25,7713,384,327,711,2.35,302,4,0,69,370,J0,Ready,0,UNKNOWN
390,UK702881302845,12/02/18,HF,6,10/02/25,8016,430,318,749,2.44,310,4,0,26,357,J0,Ready,0,UNKNOWN
395,UK702881202823,05/02/18,HF,6,25/02/25,7073,398,313,712,2.41,295,3,0,26,390,J0,Ready,0,UNKNOWN
370,UK702881203068,23/02/18,HF,6,01/05/25,6521,292,217,509,2.21,230,3,0,20,425,J0,Ready,0,UNKNOWN
374,UK702881302943,05/02/18,HF,6,26/02/25,8967,343,313,657,2.23,294,4,0,36,379,J0,Ready,0,UNKNOWN
375,UK702881402881,02/05/18,HF,6,10/02/25,9288,291,324,616,2.01,310,4,0,18,356,J0,Ready,0,UNKNOWN
376,UK702881203061,19/02/18,HF,6,05/03/25,8092,361,329,691,2.41,287,4,0,110,394,J0,Ready,0,UNKNOWN
454,UK702881403112,02/03/18,HF,6,14/02/25,7970,362,313,676,2.22,306,4,0,111,347,J0,Ready,0,UNKNOWN
477,UK702881303097,26/02/18,HF,6,05/03/25,7221,315,275,591,2.06,287,3,0,21,351,J0,Ready,0,UNKNOWN
478,UK702881702989,01/03/18,HF,6,11/03/25,8115,299,301,601,2.14,281,4,3,370,369,J0,Ready,0,UNKNOWN
479,UK702881302866,16/02/18,HF,6,14/03/25,6762,239,254,494,1.78,278,4,0,20,374,J0,Ready,0,UNKNOWN
482,UK702881303055,16/02/18,HF,6,14/02/25,6802,281,278,559,1.83,306,4,4,1821,379,J0,Ready,0,UNKNOWN
487,UK702881402853,14/02/18,HF,6,19/02/25,8015,378,311,689,2.29,301,4,0,94,366,J0,Ready,0,UNKNOWN
488,UK702881502798,30/01/18,HF,6,10/02/25,6357,371,289,660,2.15,310,4,0,35,354,J0,Ready,0,UNKNOWN
489,UK702881602869,16/02/18,HF,6,19/02/25,7874,288,292,580,1.93,301,4,0,29,383,J0,Ready,0,UNKNOWN
490,UK702881202837,10/02/18,HF,6,01/03/25,8623,382,304,686,2.36,291,4,0,26,394,J0,Ready,0,UNKNOWN
494,UK713572300924,17/02/18,HF,6,06/02/25,6936,287,262,550,1.78,314,4,3,486,358,J0,Ready,0,BUSTER
495,UK702881303027,14/02/18,HF,6,11/03/25,7575,306,292,599,2.13,281,4,0,24,364,J0,Ready,0,UNKNOWN
497,UK702881702814,04/02/18,HF,6,25/02/25,7520,326,312,638,2.16,295,4,0,21,384,J0,Ready,0,UNKNOWN
505,UK702881602911,31/01/18,HF,6,18/02/25,8086,378,290,669,2.22,302,4,0,16,378,J0,Ready,0,UNKNOWN
507,UK713572300917,16/02/18,J,6,10/02/25,8245,369,320,689,2.26,310,4,0,29,370,J0,Ready,0,RILEY
519,UK713572600899,14/02/18,HF,6,21/02/25,8017,363,272,636,2.13,299,4,0,75,372,J0,Ready,0,FRIESIAN
521,UK702881303041,15/02/18,HF,6,10/02/25,6224,308,261,570,1.85,310,4,0,44,362,J4,Ready,0,UNKNOWN
524,UK702881502805,03/02/18,HF,6,24/03/25,7077,331,294,626,2.34,268,4,0,108,402,J0,Ready,0,UNKNOWN
525,UK702881203075,22/02/18,HF,6,06/02/25,6239,236,256,493,1.61,314,4,0,45,330,J0,Ready,0,UNKNOWN
530,UK702881102955,06/02/18,HF,6,19/02/25,9323,370,308,678,2.25,301,4,0,136,352,J0,Ready,0,UNKNOWN
536,UK702881603016,09/02/18,HF,6,03/03/25,7097,335,313,648,2.24,289,4,0,16,392,J0,Ready,0,UNKNOWN
538,UK702881302873,18/02/18,HF,6,01/04/25,6098,295,225,521,2.00,260,4,0,27,419,J0,Ready,0,UNKNOWN
539,UK702881402846,12/02/18,HF,6,12/02/25,7534,353,302,656,2.15,308,3,0,27,372,J0,Ready,0,UNKNOWN
542,UK702881703017,12/02/18,HF,6,14/02/25,9249,390,347,738,2.42,306,3,0,111,379,J0,Ready,0,UNKNOWN
543,UK702881202942,04/02/18,HF,6,12/02/25,6275,304,275,580,1.90,308,4,0,38,372,J0,Ready,0,UNKNOWN
546,UK702881402888,02/03/18,HF,6,16/02/25,9348,341,328,670,2.20,304,4,1,107,346,J0,Ready,0,UNKNOWN
550,UK713572401576,03/03/18,J,6,01/03/25,6898,332,287,619,2.13,291,4,0,17,375,J0,Ready,0,(mainlan
557,UK702881402902,31/01/18,HF,6,12/02/25,8042,317,314,631,2.07,308,4,0,71,377,J0,Ready,0,UNKNOWN
558,UK713572700921,15/02/18,HF,6,25/02/25,7927,363,308,672,2.28,295,4,0,12,389,J0,Ready,0,RILEY
560,UK713572400799,24/01/18,HF,6,14/02/25,6905,319,293,613,2.01,306,4,0,42,374,J0,Ready,0,FRIESIAN
561,UK702881602799,30/01/18,HF,6,14/03/25,7321,344,284,629,2.26,278,4,0,24,409,J0,Ready,0,UNKNOWN
562,UK702881102990,08/02/18,HF,6,01/03/25,6536,319,308,628,2.16,291,3,0,17,387,J0,Ready,0,UNKNOWN
565,UK713572701572,28/02/18,HF,6,19/02/25,7880,287,273,560,1.86,301,4,0,66,366,J0,Ready,0,UNKNOWN
568,UK713572201567,28/02/18,HF,6,14/03/25,6908,339,288,627,2.26,278,4,0,12,394,J0,Ready,0,BUSTER
573,UK713572101573,28/02/18,HF,6,20/02/25,6886,344,262,606,2.02,300,4,0,21,370,J0,Ready,0,HOLSTEIN
575,UK713572500870,08/02/18,HF,6,10/02/25,7928,338,326,664,2.17,310,4,1,123,328,J0,Ready,0,UNKNOWN
576,UK713572100922,17/02/18,HF,6,19/02/25,8730,392,281,674,2.24,301,4,0,38,379,J4,Ready,0,FRIESIAN
593,UK702881603051,17/02/18,AA,6,10/02/25,6085,389,264,654,2.14,310,3,0,105,357,J0,Ready,0,UNKNOWN
116,UK702881203096,06/03/18,HF,6,11/03/25,8640,354,330,684,2.43,281,4,0,56,392,J0,Ready,0,UNKNOWN
147,UK702881302810,05/02/18,HF,6,16/02/25,6518,312,263,575,1.89,304,4,0,77,372,J0,Ready,0,UNKNOWN
164,UK702881702828,05/02/18,HF,6,25/02/25,7217,289,281,571,1.94,295,4,0,49,384,J0,Ready,0,UNKNOWN
87,UK702881503057,17/02/18,HF,6,27/01/25,7857,308,292,601,1.95,324,4,0,14,340,J0,Ready,0,UNKNOWN
89,UK702881403063,14/02/18,HF,6,13/02/25,7960,402,346,748,2.45,307,4,0,21,360,J0,Ready,0,UNKNOWN
55,UK702881502959,06/02/18,HF,6,25/03/25,6232,291,269,560,2.10,267,4,0,27,382,J0,Ready,0,UNKNOWN
58,UK713572501556,01/03/18,HF,6,25/03/25,6871,297,256,554,2.07,267,4,0,148,407,J0,Ready,0,FRIESIAN
41,UK702881502910,31/01/18,HF,6,01/05/25,4320,156,183,339,1.47,230,3,0,46,450,J0,Ready,0,UNKNOWN
334,UK702881602953,05/02/18,HF,6,12/02/25,7484,253,291,545,1.78,308,4,1,79,324,J0,Ready,0,UNKNOWN
300,UK702881703157,10/03/18,HF,6,14/02/25,7934,264,336,600,1.97,306,4,3,482,370,J0,Ready,0,UNKNOWN
287,UK702881702779,29/01/18,HF,6,12/02/25,7392,355,305,660,2.16,308,4,0,17,317,J0,Ready,0,UNKNOWN
294,UK713572401555,01/03/18,HF,6,10/02/25,7404,286,268,554,1.82,310,4,0,54,369,J0,Ready,0,HOLSTEIN
248,UK702881703115,03/03/18,HF,6,04/03/25,8033,289,297,586,2.03,288,4,0,17,362,J0,Ready,0,UNKNOWN
297,UK702881503099,01/03/18,HF,6,25/02/25,7711,312,305,617,2.09,295,4,1,110,385,J0,Ready,0,UNKNOWN
269,UK702881602806,05/02/18,HF,6,06/02/25,7169,276,310,586,1.92,314,4,0,13,341,J0,Ready,0,UNKNOWN
271,UK702881703010,12/02/18,HF,6,01/03/25,8011,313,289,603,2.07,291,4,0,29,375,J0,Ready,0,UNKNOWN
272,UK702881103004,11/02/18,HF,6,14/02/25,6466,269,263,533,1.75,306,4,0,17,352,J0,Ready,0,UNKNOWN
515,UK702881302880,21/02/18,HF,6,25/02/25,7456,349,307,657,2.23,295,4,0,16,374,J0,Ready,0,UNKNOWN
467,UK702881103025,13/02/18,HF,6,01/04/25,6862,335,280,616,2.37,260,4,0,108,407,J0,Ready,0,UNKNOWN
469,UK702881402811,05/02/18,HF,6,06/02/25,6581,341,273,614,2.00,314,4,0,101,350,J0,Ready,0,UNKNOWN
470,UK702881303090,04/03/18,HF,6,29/03/25,7413,313,271,584,2.22,263,4,0,24,406,J0,Ready,0,UNKNOWN
472,UK713572701558,01/03/18,HF,6,26/02/25,8746,361,321,682,2.32,294,4,0,17,331,J0,Ready,0,HOLSTEIN
473,UK702881203040,15/02/18,HF,6,09/02/25,7809,377,288,665,2.15,311,4,0,29,327,J0,Ready,0,UNKNOWN
474,UK702881502973,08/02/18,HF,6,14/03/25,8828,485,330,815,2.93,278,4,0,18,407,J0,Ready,0,UNKNOWN
840,UK209357601778,18/02/18,J,6,06/02/25,6212,334,272,606,1.97,314,4,1,144,327,J4,Ready,0,POWER
362,UK702881402797,30/01/18,HF,6,10/02/25,7956,347,318,666,2.18,310,4,0,15,322,J0,Ready,0,UNKNOWN
402,UK702881102871,18/02/18,HF,5,20/03/25,6895,279,246,525,1.93,272,4,0,85,399,J0,Ready,0,UNKNOWN
517,UK702881303482,22/02/19,HF,5,01/04/25,6814,299,248,548,2.11,260,3,0,34,384,J0,Ready,0,UNKNOWN
465,UK702881403252,03/02/19,HF,5,07/03/25,8290,432,331,763,2.68,285,4,0,26,359,J0,Ready,0,UNKNOWN
82,UK702881203257,04/02/19,HF,5,11/02/25,8580,317,295,612,2.01,309,4,0,28,358,J0,Ready,0,UNKNOWN
273,UK702881203502,25/02/19,HF,5,15/03/25,8180,348,314,663,2.39,277,4,0,24,408,J0,Ready,0,UNKNOWN
229,UK702881603338,07/02/19,HF,5,01/04/25,6978,308,284,593,2.28,260,4,0,25,412,J0,Ready,0,UNKNOWN
230,UK702881203390,15/02/19,HF,5,14/03/25,6959,308,245,553,1.99,278,4,0,31,380,J0,Ready,0,UNKNOWN
239,UK702881303363,15/02/19,HF,5,03/03/25,7307,368,316,684,2.37,289,4,1,127,396,J0,Ready,0,UNKNOWN
246,UK702881103368,11/02/19,HF,5,14/03/25,7514,322,262,585,2.10,278,4,0,33,366,J0,Ready,0,UNKNOWN
295,UK702881703262,04/02/19,HF,5,28/02/25,8647,333,325,659,2.26,292,4,0,44,380,J0,Ready,0,UNKNOWN
262,UK702881703374,12/02/19,HF,5,01/03/25,7404,307,276,583,2.00,291,4,0,107,376,J0,Ready,0,UNKNOWN
265,UK702881403490,23/02/19,HF,5,21/02/25,7980,342,312,654,2.19,299,4,3,290,381,J0,Ready,0,UNKNOWN
283,UK702881103389,14/02/19,HF,5,09/02/25,8244,401,345,747,2.43,311,4,0,17,365,J0,Ready,0,UNKNOWN
302,UK702881403357,11/02/19,HF,5,19/02/25,7136,382,294,676,2.25,301,3,0,41,379,J0,Ready,0,UNKNOWN
326,UK702881703479,22/02/19,HF,5,12/02/25,8158,350,329,679,2.22,308,4,1,83,370,J0,Ready,0,UNKNOWN
309,UK702881203278,05/02/19,HF,5,19/02/25,8672,387,351,738,2.45,301,4,0,12,359,J0,Ready,0,UNKNOWN
339,UK702881203243,04/02/19,HF,5,06/02/25,7947,314,332,647,2.11,314,4,0,29,358,J0,Ready,0,UNKNOWN
351,UK702881303370,11/02/19,HF,5,25/03/25,6524,258,270,529,1.98,267,4,0,26,405,J0,Ready,0,UNKNOWN
353,UK702881303307,07/02/19,HF,5,10/02/25,8819,437,325,762,2.49,310,4,0,17,371,J0,Ready,0,UNKNOWN
358,UK702881503309,07/02/19,HF,5,18/02/25,7573,265,282,547,1.81,302,4,1,221,378,J0,Ready,0,UNKNOWN
13,UK702881203334,09/02/19,HF,5,01/03/25,8758,386,341,727,2.50,291,4,0,31,364,J0,Ready,0,UNKNOWN
14,UK702881103256,01/02/19,HF,5,19/02/25,8127,348,316,665,2.21,301,4,0,24,382,J0,Ready,0,UNKNOWN
73,UK702881403406,15/02/19,HF,5,19/02/25,7896,390,339,729,2.42,301,4,0,24,359,J0,Ready,0,UNKNOWN
221,UK702881103487,20/02/19,HF,5,01/05/25,5704,277,204,481,2.09,230,3,0,40,408,J0,Ready,0,UNKNOWN
224,UK702881603387,14/02/19,HF,5,10/02/25,7677,412,323,736,2.40,310,4,0,70,368,J0,Ready,0,UNKNOWN
210,UK702881503372,12/02/19,HF,5,10/02/25,7388,367,304,672,2.19,310,4,1,700,364,J0,Ready,0,UNKNOWN
162,UK702881403308,07/02/19,HF,5,07/03/25,6848,286,279,565,1.98,285,4,0,14,401,J0,Ready,0,UNKNOWN
126,UK702881203383,14/02/19,HF,5,19/02/25,8461,305,312,618,2.05,301,4,0,13,379,J0,Ready,0,UNKNOWN
98,UK702881503379,12/02/19,HF,5,01/02/25,7526,390,313,703,2.30,319,4,0,30,351,J0,Ready,0,UNKNOWN
107,UK702881203285,06/02/19,HF,5,21/02/25,7756,309,322,632,2.11,299,4,0,112,373,J0,Ready,0,UNKNOWN
1480,UK702881103340,10/02/19,HF,5,11/03/25,7535,357,299,657,2.34,281,4,0,19,369,J0,Ready,0,UNKNOWN
1800,UK702881103473,20/02/19,HF,5,12/02/25,8158,365,347,713,2.33,308,4,2,218,350,J0,Ready,0,UNKNOWN
201,UK702881603464,20/02/19,HF,5,12/02/25,7951,360,322,683,2.24,308,4,0,23,358,J0,Ready,0,UNKNOWN
231,UK702881503344,10/02/19,HF,5,11/03/25,8961,291,306,598,2.13,281,4,0,23,362,J0,Ready,0,UNKNOWN
266,UK702881303517,26/02/19,HF,5,29/03/25,7740,334,287,621,2.36,263,4,0,15,397,J0,Ready,0,UNKNOWN
342,UK702881403392,14/02/19,HF,5,17/02/25,8007,416,305,722,2.38,303,4,1,511,369,J0,Ready,0,UNKNOWN
4220,UK702881203264,04/02/19,HF,5,20/03/25,7561,331,306,638,2.35,272,4,0,10,371,J0,Ready,0,UNKNOWN
3830,UK702881603569,18/03/19,HF,5,06/02/25,8354,286,328,614,2.01,314,4,0,32,353,J0,Ready,0,UNKNOWN
3250,UK702881403497,07/03/19,MS,5,11/03/25,7689,302,296,598,2.13,281,4,0,12,374,J0,Ready,0,UNKNOWN
511,UK702881203320,09/02/19,HF,5,10/02/25,7886,287,317,605,1.97,310,4,0,35,374,J0,Ready,0,UNKNOWN
434,UK702881403350,11/02/19,HF,5,21/02/25,8343,303,331,634,2.12,299,4,0,35,385,J0,Ready,0,UNKNOWN
452,UK702881203474,21/02/19,HF,5,14/02/25,6706,292,302,595,1.95,306,4,1,175,361,J0,Ready,0,UNKNOWN
384,UK702881203537,28/02/19,HF,5,01/04/25,6666,346,263,609,2.34,260,3,0,52,400,J0,Ready,0,UNKNOWN
400,UK702881603331,10/02/19,HF,5,25/02/25,8392,312,307,620,2.10,295,4,0,71,374,J0,Ready,0,UNKNOWN
423,UK702881303321,10/02/19,HF,5,25/02/25,7740,381,346,727,2.46,295,4,3,1044,337,J0,Ready,0,UNKNOWN
419,UK702881503498,23/02/19,HF,5,07/03/25,6312,332,264,597,2.09,285,4,0,16,386,J0,Ready,0,UNKNOWN
1,UK702881103977,01/03/20,H,4,06/02/25,6635,268,273,541,1.77,314,4,0,25,330,J0,Ready,0,HEREFORD
